achieve,B1
attach,C2
avoid,B2
bury,B2
cancel,B1
clear,C1
adapt,B2
adopt,B2
analyse,B2
arrange,B2
assess,B2
burgle,B2
calculate,B2
clutch,C2
choose,A1
climb,B2
approach,B2
attend,B1
babysit,B1
clap,B1
assist,B2
bang,B2
bend,B2
charge,C1
chase,C2
combine,B2
carve,C2
adult,C1
beard,A1
boy,A1
comb,B1
adolescent,C2
beauty,B1
childhood,B1
bit,A2
chance,B2
bully,C1
anger,B2
anxiety,B2
certainty,C2
charisma,C2
attitude,B1
charm,C2
belong,B2
blush,B2
believe,A2
bother,B2
annoy,B1
attract,B1
admire,B2
appreciate,C2
betray,B2
cheat,B2
capital,A2
citizen,B2
chancellor,C2
birthday,A1
brother,A1
aunt,A2
boyfriend,A2
anniversary,B1
bride,B1
ceremony,B1
affair,B2
bond,C2
brother-in-law,B2
celebrate,B1
bag,A1
ball,A1
box,A2
board game,A2
bookshop,A2
basket,B1
captain,B2
chain,B2
champion,C2
checkout,B1
brand,B2
catalogue,B2
business,B1
badminton,A2
chess,A2
athletics,B1
basketball,A1
baseball,A2
appear,B2
browse,B2
CD,A1
backup,B2
bookmark,B2
bulb,B2
chip,B2
access,B2
broadband,B2
CD-ROM,B1
boat,A1
bus,A1
car,A1
aeroplane,A2
airport,A2
bicycle,A2
bus station,A2
bus stop,A2
car park,A2
coach,B2
brake,B2
cab,B1
campsite,B1
check-in (desk),B1
check-in (counter),B1
aircraft,B2
carriage,C2
baggage,C2
adventure,A2
camp,B1
accelerate,C2
boss,A2
businessman,A2
businesswoman,A2
agency,C1
architect,B1
career,C2
agent,B2
analyst,B2
chief,B2
client,B2
appoint,C1
build,A2
cigarette,A2
addict,B2
cancer,B1
abuse,C2
alcohol,A2
champagne,A2
bacon,B1
beer,A1
cathedral,A2
church,A2
bribe,C1
bomb,B1
arrival,C2
acquaintance,C1
appliance,C1
alliance,C2
annoyance,C1
acceptance,C1
attendance,C1
coincidence,B2
baker,B1
blogger,B1
border,B1
butcher,B1
buyer,B1
banker,B2
climbing,A2
advertising,B2
banking,B2
coaching,B2
backing,C2
association,C2
collocation,B2
accusation,C1
assumption,C1
audition,C1
allocation,C2
accommodation,B1
attention,B1
administration,C1
aggression,C1
civilization,C1
anticipation,C2
combination,B2
adaptation,C1
alteration,C1
auction,C1
cancellation,C1
collaboration,C1
accumulation,C2
classification,C2
artist,A2
chemist,B1
celebrity,B1
authority,C1
availability,B2
charity,C2
ability,B1
capability,C1
ambiguity,C2
alternative,B2
authorize,C1
announcement,B1
amendment,C1
awareness,C1
closeness,C1
clumsiness,C2
author,B1
calculator,B1
ambassador,B2
administrator,C1
anchor,C2
bomber,C2
alcoholic,C2
child,A1
city,A1
classroom,A1
clock,A1
actor,A2
adjective,A2
adverb,A2
alarm clock,A2
ambulance,A2
balloon,A2
battery,A2
bill,A2
bridge,C2
calendar,A2
century,A2
chef,A2
classmate,A2
colleague,A2
accountant,B1
age,C2
aim,B1
airline,B1
antique,B1
athlete,B1
backpack,B1
bell,B2
blog,B1
bucket,B1
canal,B1
cashpoint,B1
clinic,B1
aspect,B2
bakery,B2
bargain,B2
basis,C1
battle,C2
beam,B2
billion,B2
blade,B2
bonus,B2
breakthrough,B2
bullet,B2
carnival,B2
category,B2
cause,C2
cemetery,B2
clause,B2
clue,B2
accessory,C1
agenda,C2
ally,C2
amateur,C1
asset,C1
assignment,C1
avenue,C2
boundary,C1
bracket,C1
bubble,C2
burden,C1
chore,C1
advocate,C2
arch,C2
assembly,C2
attribute,C2
band,C2
barn,C2
bet,C2
blend,C2
buzz,C2
chill,C2
circuit,C2
civilian,C2
clash,C2
biology,A2
behaviour,B1
absence,B2
agriculture,B2
cardboard,B2
centigrade,B2
chaos,B2
applause,C1
archaeology,C1
coal,C1
artificial intelligence,C2
awe,C2
blackmail,C2
bribery,C2
bureaucracy,C2
afternoon,A1
April,A1
August,A1
building,A2
college,A2
advantage,B2
benefit,B2
cod,B1
advance,B2
analysis,B2
belief,C2
campus,B2
collapse,C2
analogy,C2
bias,C2
burial,C2
cargo,C2
catastrophe,C2
belongings,B2
bacteria,C1
begin,A2
arrive,A2
apply,C1
arise,C1
beware,C1
collaborate,C1
coincide,C2
buy,A1
allow,C2
abandon,C1
abolish,B2
absorb,C1
accept,B2
accuse,B2
affect,B2
boost,B2
chop,B2
accomplish,C1
allocate,C1
anticipate,C1
assign,C1
associate,C1
attain,C1
classify,C1
alert,C2
amend,C2
arouse,C2
assemble,C2
bind,C2
alter,B2
blink,B2
bounce,B2
burst,B2
chew,B2
accumulate,C1
broaden,C1
cater,C1
air force,B1
angel,B1
barman,B1
chapel,C2
bombing,B2
assault,C2
combat,C2
boiling,B2
adjacent,C2
awesome,C2
big,C1
cast,C2
acceptable,C1
capable,B2
available,A2
clinical,C2
alphabetical,B2
additional,B2
artificial,C2
beneficial,B2
coastal,B2
arrogant,B2
animated,C2
addicted,B2
advanced,B1
boiled,A2
canned,B2
bored,A1
amazed,B1
annoyed,B1
ashamed,B1
amused,B2
astonished,B2
bad-tempered,B2
bothered,B2
closed,C2
adopted,B2
better,A2
beautiful,A1
colourful,B2
careful,A2
cheerful,B2
artistic,B2
chronic,C2
basic,B1
authentic,C1
academic,C2
apologetic,C2
charismatic,C2
atomic,B2
automatic,C2
amazing,B1
amusing,B1
appalling,C2
boring,A1
annoying,B1
charming,B1
astonishing,B2
caring,B2
circulation,C2
childish,B2
capitalist,C2
active,C1
attractive,B2
aggressive,C1
assertive,C2
careless,B1
actually,B2
badly,B2
certainly,A2
clearly,B1
absolutely,B1
admittedly,B2
alternatively,B2
apparently,B2
basically,C1
approximately,B1
adequately,B2
barely,B2
brightly,B2
beautifully,B1
amazingly,B1
angrily,B1
bravely,B1
aggressively,B2
anxiously,B2
boldly,B2
brilliantly,B2
calmly,B2
carelessly,B2
cheerfully,B2
closely,C1
automatically,B2
anxious,B2
adventurous,B2
ambitious,B2
cautious,B2
bloody,C2
chatty,C1
bulky,C1
cloudy,A2
biological,B2
abstract,B2
audience,B2
choir,B2
all right,B1
alright,B1
alive,C2
asleep,B1
awake,B1
blind,B1
casual,C2
brief,B1
absolute,B2
clichd,C2
coherent,C2
anyway,B1
besides,B1
anyhow,C1
bad,C1
best,B1
bright,B2
brilliant,B1
broken,A2
accurate,B1
ancient,B1
awful,B1
blank,C2
bold,B2
brand new,B1
broad,B1
clever,B1
absurd,B2
adequate,B2
appropriate,B2
approximate,B2
bare,C2
bizarre,B2
breathtaking,B2
circular,C2
abnormal,C1
bland,C2
bleak,C2
above,C2
below,C2
across,A2
anywhere,A2
around,C2
away,C2
apart,B2
behind,C2
alongside,C1
beyond,C2
be,A2
bitter,B2
affluent,C1
bankrupt,C1
calm,B1
arid,C2
bronze,C2
choice,B1
aged,A2
blonde,A2
awkward,C2
afraid,B1
angry,A2
brave,B1
certain,B1
aware,B2
clumsy,B2
anti-social,C1
able,C2
abrupt,C2
affectionate,C2
blunt,C2
club,B1
bound,C1
abroad,B1
aboard,C1
busy,A2
breakable,B2
affordable,C1
changeable,C1
accountable,C2
attainable,C2
annual,B1
central,C2
accidental,B2
analytical,C1
bilingual,C1
brutal,C1
classical,C2
abandoned,B2
armed,B2
balanced,B2
accepted,C1
acclaimed,C1
alleged,C1
biased,C1
allied,C2
broadminded,C2
accessible,C2
athletic,B2
chaotic,C1
burning,B1
challenging,B1
alarming,C1
beginning,A2
aspiration,C2
addictive,C1
administrative,C1
abusive,C2
carefully,A2
accurately,B1
briefly,B1
accidentally,B2
actively,B2
additionally,B2
annually,B2
appropriately,B2
artificially,B2
casually,B2
broadly,C1
ambiguous,C2
analogous,C2
anonymous,C2
bossy,B2
cheeky,B2
chilly,C1
cheap,C1
alone,C2
absent,B1
alike,B2
bald,B1
actual,B2
apparent,C1
ample,C1
civil,C1
ahead,C2
arbitrary,C2
backward,C2
carefree,C2
about,B2
again,A2
also,A1
always,B2
a.m.,A1
afterwards,A2
ago,A2
all,B1
almost,A2
already,B1
anymore,A2
along,B2
aloud,B1
altogether,B2
any,B1
backwards,B1
aside,B2
between,C1
abruptly,C2
allegedly,C2
circumstance,B2
army,C2
bundle,C2
casualty,C2
closure,C2
alternate,C1
establishment,C1
contract,C2
conclude,C1
exam,A2
discipline,C2
expenditure,C2
ensure,B2
descend,B2
dad,A1
fancy,C2
depart,B1
duration,C1
elapse,C2
excel,C2
consume,C1
comprise,C1
desire,C1
employ,C1
engage,C1
enhance,C1
evaluate,C1
facilitate,C1
compromise,C2
deem,C2
disclose,C2
endorse,C2
enjoy,C2
eradicate,C2
erode,C2
examine,C2
exemplify,C2
exercise,C2
commence,C2
crush,C2
dump,C2
devil,C2
disapproval,C1
dismissal,C1
dissatisfaction,B2
disability,B2
disagreement,B2
dishonesty,B2
disorder,C2
disagree,B1
discourage,C2
disrespect,C1
disgust,C2
disapprove,B2
dislike,B2
commercial,C2
criminal,B2
disposal,B2
conference,B1
confidence,C2
dancer,A2
examiner,B1
cooker,A2
dishwasher,B1
customer,A2
diver,B1
consumer,B2
defender,B2
counter,C2
computer,A1
farmer,A2
employer,B1
ending,B1
crossing,C1
farming,B1
composition,C2
edition,B2
exhibition,B1
condition,C2
complexion,C2
complication,C2
constitution,C2
examination,B2
construction,B2
definition,C1
expression,B2
communication,B1
conversation,A1
description,B1
discussion,B1
explanation,B1
confession,B2
confirmation,B2
conviction,C2
devastation,C2
concession,C2
depression,C2
conservation,C1
evolution,B2
decision,B1
cooperation,B2
contribution,B2
demonstration,C1
disposition,C2
determination,B2
exhaustion,B2
confusion,B2
election,B1
competition,B2
division,B2
destination,B1
expedition,B1
connection,B2
congestion,C1
criticism,B2
cyclist,B1
creativity,B2
curiosity,B2
community,B2
electricity,A2
entertainment,B1
encouragement,B2
development,C2
disappointment,B1
excitement,B1
enjoyment,B2
commitment,B2
embarrassment,B2
equipment,B1
employment,B1
consciousness,C1
eagerness,B2
coolness,C2
escalator,B2
competitor,B1
director,B1
counsellor,C2
enquiry,C2
delivery,B1
discovery,C1
contraception,C2
extremist,C2
contraceptive,C2
cow,A1
dog,A1
dinosaur,A2
duck,A2
elephant,A2
creature,B1
dolphin,B1
donkey,B1
crocodile,B2
deer,B2
eagle,B2
egg,B2
cry,C2
comic,B1
concert,A2
dance,B1
drum,A2
disc,C2
display,C2
documentary,B1
episode,B2
extra,C1
culture,B1
coverage,C1
comedy,B1
drama,B1
craft,B2
contents,B2
compose,B2
conduct,B2
ear,A1
eye,A1
face,B2
cough,B1
cut,C1
diet,B1
elbow,B1
cure,C1
dose,B2
drug,B2
eyebrow,B2
eyelid,B2
corpse,C2
donor,C2
eyesight,B2
digestion,C1
diarrhoea,C2
disease,B1
earache,B1
deodorant,C1
diagnosis,C2
do,B2
faint,B2
digest,C1
diagnose,C2
develop,C2
conceive,C2
dress,B2
earring,A2
costume,B2
cross,C2
document,B1
envelope,A2
comma,B1
comment,B2
consonant,B1
demand,B2
diagram,B1
entry,B1
excuse,B2
command,C2
dash,C2
draft,C1
exclamation mark,B2
contact,C2
data,B2
complaint,C1
defence,C1
emphasis,B2
dialect,C2
dialogue,C2
dispute,C2
directions,A2
complain,B1
count,C2
communicate,B2
describe,A2
discuss,A2
convince,B1
date,C1
encourage,B1
confirm,B2
defend,C1
define,B2
deny,B2
emphasize,B2
expose,B2
express,B2
condemn,C2
explain,A2
confess,B2
decline,B2
enquire,B2
exclaim,C2
crime,B1
custody,C2
court,B2
convict,C2
degree,B2
dozen,B1
drop,C1
curve,B2
diamond,B2
dimension,B2
fake,C2
cream,B1
depth,C2
distance,B2
couple,B1
extent,B2
course,C2
dictionary,A1
diploma,A2
curriculum,B1
exchange,B2
credit,B2
dissertation,C1
fail,B2
cup,B1
dish,A2
core,C2
fast food,A2
corn,B1
dinner,A1
drink,A2
curry,A2
dessert,A2
courgette,B1
cucumber,B1
fat,B2
dice,C2
desk,A1
dining room,A1
door,A1
farm,A1
cupboard,A2
curtain,A2
drawer,A2
entrance,C2
exit,B1
cottage,B1
cushion,C2
dustbin,B1
duvet,B1
corridor,B2
estate,B2
doorway,C2
facilities,B1
dollar,A1
euro,A2
exchange rate,B1
debit,B2
debt,B2
economy,B2
crash,C1
cover,C1
currency,B1
expense,B2
disposable income,C2
expenses,C1
compensate,C2
continent,B1
district,B1
earthquake,B2
element,B2
countryside,A2
copper,B2
daylight,B2
earth,B2
coral,C2
desert,A2
dawn,B2
erupt,C2
experiment,C2
estimate,B2
consumption,C1
effort,B1
conflict,B2
escape,C2
fall,C2
cooperate,B2
cope,B2
crawl,C2
complete,B1
copy,B2
control,C1
create,B1
damage,B1
decorate,B1
design,C1
destroy,B1
discover,B1
construct,B2
demolish,C2
deprive,B2
dip,B2
disrupt,B2
distinguish,B2
distract,B2
distribute,C1
disturb,C2
drag,C2
enable,B2
exploit,B2
explore,B2
extend,B2
extract,B2
decide,C2
delay,B1
end,B2
connect,C2
continue,B1
deliver,C1
dig,B1
divide,C1
fasten,B1
convert,C2
crack,C2
dominate,C1
elegance,C1
dream,B1
experience,B1
coward,B2
extrovert,C1
fanatic,C2
comfort,C2
courage,B2
courtesy,B2
despair,B2
disgrace,B2
enthusiasm,B2
envy,B2
faith,B2
fame,B2
distress,C2
drive,C2
enterprise,C2
dignity,C2
diplomacy,C2
empathy,C2
doubt,C1
concern,C1
cruelty,B2
delight,B2
emotion,B2
disappoint,B1
confuse,B2
draw,C1
endure,B2
corrupt,C1
declaration,C1
deputy,C1
coup,C2
delegation,C2
democracy,B2
daughter,A1
father,A1
cousin,A2
enemy,B2
companion,B2
darling,B2
daughter-in-law,B2
father-in-law,B2
company,B2
divorce,B2
doll,A1
department store,A2
contest,B1
defeat,B2
cricket,C2
extreme sports,B1
export,B2
eliminate,C1
DVD,A1
disk,B1
download,B1
cursor,B2
database,B2
desktop,B2
device,B2
cookie,C2
dot,B2
failure,B2
equip,B2
driving licence,A2
cruise,B2
crossroads,B2
cycle,B2
deck,B2
customs,B1
diesel,C1
departure,B1
commute,C1
divert,C2
day,A2
employee,B1
deadline,B2
deal,B2
counterpart,C1
executive,C1
developer,C2
duty,B2
disappearance,B2
distraction,C1
disruption,C1
disadvantage,B1
discontent,C1
discrimination,C1
displacement,C1
discomfort,C2
disappear,B2
discriminate,C2
dismiss,C1
displace,C1
distort,C1
disqualify,C2
disturbance,C2
dominance,C2
endurance,C2
consultant,B2
contestant,C1
consequence,B2
convenience,C1
existence,C1
difference,C2
competence,C1
driver,A1
designer,B2
composer,B2
container,B2
dealer,B2
determiner,B2
entertainer,B2
commander,C2
craving,C2
cooking,A2
engineering,B1
counselling,C2
drawing,A2
conclusion,C2
direction,C2
conjunction,B2
consideration,C2
explosion,C1
extension,B2
convention,C1
equation,C1
consultation,C2
contradiction,C2
concentration,C2
decoration,B2
destruction,B2
expansion,B2
completion,C1
corruption,C1
cultivation,C1
distribution,C1
domination,C1
erosion,C2
extinction,C1
distinction,C2
elimination,C2
correction,B1
creation,B2
donation,B2
exception,B2
emission,C1
evaluation,C1
exaggeration,C1
exploration,C1
conception,C2
confrontation,C2
conversion,C2
dentist,A2
economist,B2
environmentalist,C1
facility,B2
equality,B2
complexity,C2
continuity,C2
credibility,C2
comparative,C1
explosive,C2
darkness,B2
effectiveness,C1
fairness,C1
craziness,C2
doctor,A1
conductor,B2
editor,B2
emperor,C1
difficulty,B2
country,A1
credit card,A1
email,A2
example,B2
factory,A1
cook,A2
corner,C2
diary,A2
digital camera,A2
disco,A2
discount,A2
engine,A2
engineer,A2
fact,B2
fan,B1
count noun,B1
crop,B1
CV,B1
danger,B1
definite article,B1
deposit,C2
detail,B1
detective,B1
disc jockey,B1
DJ,B1
edge,B2
embassy,B1
essay,B1
event,B1
expert,B2
fair,C1
fare,B1
concept,B2
county,B2
critic,C1
debit card,B2
decade,B2
dilemma,B2
diplomat,B2
dive,B2
electrician,B2
environment,B2
equal,B2
era,B2
factor,B2
fate,B2
commodity,C1
component,C1
criterion,C1
cutback,C1
debut,C1
defect,C1
deficit,C1
delegate,C2
destiny,C1
directory,C1
dock,C1
domain,C1
draught,C1
drawback,C1
empire,C1
equivalent,C1
exhibit,C2
exterior,C1
comeback,C2
compliment,C2
constraint,C2
crackdown,C2
creep,C2
descendant,C2
deterrent,C2
drain,C2
echo,C2
embrace,C2
entity,C2
dancing,A1
cycling,A2
east,A2
common sense,B1
cotton,B1
dirt,B1
diving,B1
dust,B1
economics,B1
energy,B1
fashion,B1
commerce,B2
concrete,C2
daytime,B2
denim,B2
ease,B2
efficiency,B2
electronics,B2
evidence,C2
consent,C2
daycare,C1
dedication,C1
exposure,C1
cutlery,C2
decay,C2
dependence,C2
desperation,C2
discretion,C2
dismay,C2
DNA,C2
doom,C2
December,A1
evening,A1
cost,B2
custom,B1
death,B1
decrease,B1
effect,B1
emergency,B1
comparison,B2
context,C1
contrast,C2
crab,B2
crisis,B2
debate,C2
disaster,B2
disguise,C2
error,B2
evil,B2
fantasy,B2
controversy,C1
deduction,C2
deficiency,C2
density,C1
fabric,C1
conscience,C2
deception,C2
denial,C2
deprivation,C2
drought,C2
endeavour,C2
famine,C2
earnings,B2
content,C2
downside,C1
die,A1
eat,A1
compete,B2
concentrate,B1
exist,C1
correspond,B2
demonstrate,C2
differ,B2
emerge,C1
comply,C1
daydream,C1
deteriorate,C1
drift,C2
expire,C2
contain,C2
declare,B2
delete,B1
deserve,B1
direct,C1
enter,C1
expect,B2
commit,C2
congratulate,B2
deceive,B2
edit,B2
educate,B2
enclose,C1
encounter,B2
compile,C1
complicate,C1
consider,C2
constitute,C1
consult,C1
convey,C1
cultivate,C2
detect,C1
determine,C1
enforce,C1
enrich,C1
envisage,C1
envision,C1
exceed,C1
exclude,C1
exhaust,C1
fascinate,C1
commemorate,C2
conceal,C2
confine,C2
confront,C2
constrain,C2
contemplate,C2
contradict,C2
crave,C2
curb,C2
dazzle,C2
deduce,C2
defy,C2
depict,C2
devise,C2
differentiate,C2
dread,C2
earn,C2
embarrass,C2
embody,C2
emit,C2
equate,C2
execute,C2
dry,C2
compare,B1
dial,B1
entertain,B1
explode,B1
contribute,C1
cool,C2
donate,C1
double,B2
expand,B2
fade,B2
conquer,C1
deepen,C2
diminish,C1
exaggerate,C1
crumble,C2
dim,C2
dissolve,C2
fantastic,A2
empirical,C2
evidently,B2
evident,B2
deceased,C2
due,C2
dead,C2
faraway,C2
disabled,B1
disorganized,B2
dissatisfied,B2
disrespectful,C2
dishonestly,C1
dishonest,B2
comfortable,C2
comparable,C1
enjoyable,B1
desirable,B2
cultural,B1
critical,C2
dental,B2
fatal,B2
facial,C2
exceptional,C2
educational,B2
economical,B2
environmental,B1
ecological,B2
emotional,B2
cynical,C2
constitutional,C2
digital,B1
electrical,C1
dominant,C2
engaged,B1
damaged,B1
decaffeinated,C2
detached,C2
depressed,C2
excited,A1
confused,B2
delighted,B1
disappointed,B1
embarrassed,B1
exhausted,B1
